Surface,Block,X,Y,R,G,B,Gray
Дорога,1,260,120,155.90122985839844,153.27468872070312,105.0,148.5567169189453
Дорога,2,285,230,172.01852416992188,169.63888549804688,119.58641815185547,164.64442443847656
Дорога,3,255,340,172.1913604736328,169.1265411376953,119.75,164.4139862060547
Дорога,4,285,455,182.32716369628906,178.6882781982422,130.34877014160156,174.26559448242188
Дорога,5,260,570,181.42591857910156,175.7561798095703,127.06481170654297,171.90060424804688
Дорога,6,290,690,190.17591857910156,183.6265411376953,135.25308227539062,180.0702362060547
Дорога,7,260,820,179.5833282470703,167.47222900390625,118.66049194335938,165.52891540527344
Дорога,8,285,940,189.24073791503906,180.456787109375,134.30555725097656,177.8219451904297
Дорога,9,255,1060,144.47222900390625,132.706787109375,88.75926208496094,131.21463012695312
Дорога,10,285,1180,183.8333282470703,173.6481475830078,126.61419677734375,171.3316650390625
Дорога,11,260,1300,165.48765563964844,149.82098388671875,105.43209838867188,149.4449920654297
Дорога,12,290,1410,170.26234436035156,153.25926208496094,110.8672866821289,153.510498046875
Трава,1,525,120,103.20061492919922,112.90740966796875,59.25308609008789,103.88848114013672
Трава,2,560,235,116.98148345947266,118.12036895751953,67.60493469238281,112.02107238769531
Трава,3,535,350,110.83950805664062,116.84259033203125,63.925926208496094,109.01516723632812
Трава,4,575,480,127.57716369628906,127.19136047363281,78.35185241699219,121.739013671875
Трава,5,520,610,131.46604919433594,127.93827056884766,74.68518829345703,122.92223358154297
Трава,6,565,720,133.61111450195312,124.956787109375,76.83641815185547,122.0587158203125
Трава,7,530,850,128.94444274902344,124.08641815185547,71.03395080566406,119.49098205566406
Трава,8,575,975,124.95370483398438,118.9475326538086,67.44136047363281,114.87167358398438
Трава,9,520,1105,132.3549346923828,128.956787109375,72.70987701416016,123.56067657470703
Трава,10,565,1230,128.2870330810547,119.33333587646484,71.96295928955078,116.61026763916016
Трава,11,525,1360,107.47222137451172,103.66358184814453,59.811729431152344,99.80326843261719
Трава,12,595,650,155.28395080566406,146.1049346923828,96.08950805664062,143.14768981933594
Поле,1,860,120,181.09567260742188,169.4783935546875,109.98456573486328,166.16966247558594
Поле,2,980,230,150.8981475830078,140.37962341308594,97.87654113769531,138.6793212890625
Поле,3,1170,340,176.74691772460938,160.13272094726562,112.08641815185547,159.62307739257812
Поле,4,1360,455,139.25,119.50926208496094,87.44444274902344,121.75634002685547
Поле,5,1550,570,188.6697540283203,165.07716369628906,122.71604919433594,167.30218505859375
Поле,6,1740,690,164.11111450195312,136.82098388671875,99.45061492919922,140.7205047607422
Поле,7,900,820,196.6419677734375,171.86727905273438,121.22222137451172,173.50137329101562
Поле,8,1120,940,188.71913146972656,164.0216064453125,121.04629516601562,166.50697326660156
Поле,9,1330,1060,162.8981475830078,134.93209838867188,101.50308990478516,139.48304748535156
Поле,10,1530,1180,204.3086395263672,175.08642578125,127.66049194335938,178.4173126220703
Поле,11,1720,1300,156.74073791503906,127.70061492919922,85.64506530761719,131.58929443359375
Поле,12,1880,1410,152.40740966796875,116.97222137451172,79.8827133178711,123.33914184570312
Столбики в поле,1,1044,328,181.5154266357422,174.09259033203125,154.78086853027344,174.11048889160156
Столбики в поле,2,1052,328,191.37962341308594,193.74691772460938,187.7345733642578,192.3536834716797
Столбики в поле,3,1060,328,177.83642578125,177.86111450195312,165.50308227539062,176.44491577148438
Столбики в поле,4,1048,338,174.25926208496094,171.6481475830078,149.3734588623047,169.88955688476562
Столбики в поле,5,1962,326,166.4938201904297,157.9629669189453,136.61727905273438,158.0802764892578
Столбики в поле,6,1970,326,170.67901611328125,165.45062255859375,158.5648193359375,166.2289276123047
Столбики в поле,7,1978,326,140.05247497558594,126.31481170654297,109.4259262084961,128.49703979492188
Столбики в поле,8,1966,336,136.36727905273438,127.24691009521484,103.15740966796875,127.22769927978516
Столбики в поле,9,1006,1318,200.25,184.9197540283203,158.0617218017578,186.44168090820312
Столбики в поле,10,1014,1318,206.30555725097656,199.1666717529297,187.0586395263672,199.92086791992188
Столбики в поле,11,1022,1318,184.6666717529297,172.2129669189453,155.11419677734375,173.9873809814453
Столбики в поле,12,1938,1248,176.29937744140625,161.36111450195312,150.4629669189453,164.58526611328125
